Colonna X   -   Colonna Y=R(X)

-5.0   -   0.0018785
-4.984985   -   0.0018872
-4.96997   -   0.0018959
-4.954955   -   0.0019047
-4.9399399   -   0.0019136
-4.9249249   -   0.0019225
-4.9099099   -   0.0019315
-4.8948949   -   0.0019405
-4.8798799   -   0.0019495
-4.8648649   -   0.0019587
-4.8498498   -   0.0019678
-4.8348348   -   0.0019771
-4.8198198   -   0.0019863
-4.8048048   -   0.0019957
-4.7897898   -   0.0020051
-4.7747748   -   0.0020145
-4.7597598   -   0.002024
-4.7447447   -   0.0020336
-4.7297297   -   0.0020432
-4.7147147   -   0.0020528
-4.6996997   -   0.0020626
-4.6846847   -   0.0020723
-4.6696697   -   0.0020822
-4.6546547   -   0.0020921
-4.6396396   -   0.002102
-4.6246246   -   0.0021121
-4.6096096   -   0.0021221
-4.5945946   -   0.0021323
-4.5795796   -   0.0021425
-4.5645646   -   0.0021527
-4.5495495   -   0.0021631
-4.5345345   -   0.0021734
-4.5195195   -   0.0021839
-4.5045045   -   0.0021944
-4.4894895   -   0.002205
-4.4744745   -   0.0022156
-4.4594595   -   0.0022263
-4.4444444   -   0.0022371
-4.4294294   -   0.0022479
-4.4144144   -   0.0022588
-4.3993994   -   0.0022698
-4.3843844   -   0.0022808
-4.3693694   -   0.0022919
-4.3543544   -   0.002303
-4.3393393   -   0.0023143
-4.3243243   -   0.0023256
-4.3093093   -   0.0023369
-4.2942943   -   0.0023484
-4.2792793   -   0.0023599
-4.2642643   -   0.0023715
-4.2492492   -   0.0023831
-4.2342342   -   0.0023948
-4.2192192   -   0.0024066
-4.2042042   -   0.0024185
-4.1891892   -   0.0024304
-4.1741742   -   0.0024424
-4.1591592   -   0.0024545
-4.1441441   -   0.0024667
-4.1291291   -   0.0024789
-4.1141141   -   0.0024912
-4.0990991   -   0.0025036
-4.0840841   -   0.0025161
-4.0690691   -   0.0025286
-4.0540541   -   0.0025413
-4.039039   -   0.002554
-4.024024   -   0.0025667
-4.009009   -   0.0025796
-3.993994   -   0.0025925
-3.978979   -   0.0026056
-3.963964   -   0.0026187
-3.9489489   -   0.0026319
-3.9339339   -   0.0026451
-3.9189189   -   0.0026585
-3.9039039   -   0.0026719
-3.8888889   -   0.0026854
-3.8738739   -   0.0026991
-3.8588589   -   0.0027127
-3.8438438   -   0.0027265
-3.8288288   -   0.0027404
-3.8138138   -   0.0027544
-3.7987988   -   0.0027684
-3.7837838   -   0.0027825
-3.7687688   -   0.0027968
-3.7537538   -   0.0028111
-3.7387387   -   0.0028255
-3.7237237   -   0.00284
-3.7087087   -   0.0028546
-3.6936937   -   0.0028693
-3.6786787   -   0.0028841
-3.6636637   -   0.002899
-3.6486486   -   0.0029139
-3.6336336   -   0.002929
-3.6186186   -   0.0029442
-3.6036036   -   0.0029594
-3.5885886   -   0.0029748
-3.5735736   -   0.0029903
-3.5585586   -   0.0030058
-3.5435435   -   0.0030215
-3.5285285   -   0.0030373
-3.5135135   -   0.0030532
-3.4984985   -   0.0030691
-3.4834835   -   0.0030852
-3.4684685   -   0.0031014
-3.4534535   -   0.0031177
-3.4384384   -   0.0031341
-3.4234234   -   0.0031506
-3.4084084   -   0.0031672
-3.3933934   -   0.003184
-3.3783784   -   0.0032008
-3.3633634   -   0.0032178
-3.3483483   -   0.0032348
-3.3333333   -   0.003252
-3.3183183   -   0.0032693
-3.3033033   -   0.0032867
-3.2882883   -   0.0033042
-3.2732733   -   0.0033219
-3.2582583   -   0.0033396
-3.2432432   -   0.0033575
-3.2282282   -   0.0033755
-3.2132132   -   0.0033936
-3.1981982   -   0.0034118
-3.1831832   -   0.0034302
-3.1681682   -   0.0034487
-3.1531532   -   0.0034673
-3.1381381   -   0.003486
-3.1231231   -   0.0035049
-3.1081081   -   0.0035239
-3.0930931   -   0.003543
-3.0780781   -   0.0035622
-3.0630631   -   0.0035816
-3.048048   -   0.0036011
-3.033033   -   0.0036208
-3.018018   -   0.0036406
-3.003003   -   0.0036605
-2.987988   -   0.0036805
-2.972973   -   0.0037007
-2.957958   -   0.003721
-2.9429429   -   0.0037415
-2.9279279   -   0.0037621
-2.9129129   -   0.0037828
-2.8978979   -   0.0038037
-2.8828829   -   0.0038248
-2.8678679   -   0.003846
-2.8528529   -   0.0038673
-2.8378378   -   0.0038888
-2.8228228   -   0.0039104
-2.8078078   -   0.0039322
-2.7927928   -   0.0039541
-2.7777778   -   0.0039762
-2.7627628   -   0.0039984
-2.7477477   -   0.0040208
-2.7327327   -   0.0040433
-2.7177177   -   0.004066
-2.7027027   -   0.0040889
-2.6876877   -   0.0041119
-2.6726727   -   0.0041351
-2.6576577   -   0.0041585
-2.6426426   -   0.004182
-2.6276276   -   0.0042057
-2.6126126   -   0.0042295
-2.5975976   -   0.0042535
-2.5825826   -   0.0042777
-2.5675676   -   0.0043021
-2.5525526   -   0.0043266
-2.5375375   -   0.0043514
-2.5225225   -   0.0043762
-2.5075075   -   0.0044013
-2.4924925   -   0.0044266
-2.4774775   -   0.004452
-2.4624625   -   0.0044776
-2.4474474   -   0.0045034
-2.4324324   -   0.0045294
-2.4174174   -   0.0045556
-2.4024024   -   0.0045819
-2.3873874   -   0.0046085
-2.3723724   -   0.0046352
-2.3573574   -   0.0046621
-2.3423423   -   0.0046893
-2.3273273   -   0.0047166
-2.3123123   -   0.0047441
-2.2972973   -   0.0047719
-2.2822823   -   0.0047998
-2.2672673   -   0.0048279
-2.2522523   -   0.0048563
-2.2372372   -   0.0048848
-2.2222222   -   0.0049136
-2.2072072   -   0.0049426
-2.1921922   -   0.0049718
-2.1771772   -   0.0050012
-2.1621622   -   0.0050308
-2.1471471   -   0.0050606
-2.1321321   -   0.0050907
-2.1171171   -   0.005121
-2.1021021   -   0.0051515
-2.0870871   -   0.0051822
-2.0720721   -   0.0052132
-2.0570571   -   0.0052444
-2.042042   -   0.0052759
-2.027027   -   0.0053075
-2.012012   -   0.0053394
-1.996997   -   0.0053716
-1.981982   -   0.005404
-1.966967   -   0.0054366
-1.951952   -   0.0054695
-1.9369369   -   0.0055026
-1.9219219   -   0.005536
-1.9069069   -   0.0055697
-1.8918919   -   0.0056036
-1.8768769   -   0.0056377
-1.8618619   -   0.0056721
-1.8468468   -   0.0057068
-1.8318318   -   0.0057417
-1.8168168   -   0.0057769
-1.8018018   -   0.0058124
-1.7867868   -   0.0058482
-1.7717718   -   0.0058842
-1.7567568   -   0.0059205
-1.7417417   -   0.0059571
-1.7267267   -   0.005994
-1.7117117   -   0.0060311
-1.6966967   -   0.0060686
-1.6816817   -   0.0061063
-1.6666667   -   0.0061443
-1.6516517   -   0.0061826
-1.6366366   -   0.0062213
-1.6216216   -   0.0062602
-1.6066066   -   0.0062994
-1.5915916   -   0.006339
-1.5765766   -   0.0063788
-1.5615616   -   0.006419
-1.5465465   -   0.0064595
-1.5315315   -   0.0065003
-1.5165165   -   0.0065414
-1.5015015   -   0.0065828
-1.4864865   -   0.0066246
-1.4714715   -   0.0066667
-1.4564565   -   0.0067091
-1.4414414   -   0.0067519
-1.4264264   -   0.0067951
-1.4114114   -   0.0068385
-1.3963964   -   0.0068823
-1.3813814   -   0.0069265
-1.3663664   -   0.006971
-1.3513514   -   0.0070159
-1.3363363   -   0.0070611
-1.3213213   -   0.0071068
-1.3063063   -   0.0071527
-1.2912913   -   0.0071991
-1.2762763   -   0.0072458
-1.2612613   -   0.0072929
-1.2462462   -   0.0073404
-1.2312312   -   0.0073883
-1.2162162   -   0.0074365
-1.2012012   -   0.0074852
-1.1861862   -   0.0075343
-1.1711712   -   0.0075837
-1.1561562   -   0.0076336
-1.1411411   -   0.0076839
-1.1261261   -   0.0077346
-1.1111111   -   0.0077857
-1.0960961   -   0.0078372
-1.0810811   -   0.0078892
-1.0660661   -   0.0079416
-1.0510511   -   0.0079944
-1.036036   -   0.0080477
-1.021021   -   0.0081014
-1.006006   -   0.0081555
-0.990991   -   0.0082101
-0.975976   -   0.0082652
-0.960961   -   0.0083208
-0.9459459   -   0.0083768
-0.9309309   -   0.0084332
-0.9159159   -   0.0084902
-0.9009009   -   0.0085476
-0.8858859   -   0.0086055
-0.8708709   -   0.008664
-0.8558559   -   0.0087229
-0.8408408   -   0.0087823
-0.8258258   -   0.0088422
-0.8108108   -   0.0089026
-0.7957958   -   0.0089636
-0.7807808   -   0.009025
-0.7657658   -   0.009087
-0.7507508   -   0.0091496
-0.7357357   -   0.0092126
-0.7207207   -   0.0092762
-0.7057057   -   0.0093404
-0.6906907   -   0.0094051
-0.6756757   -   0.0094704
-0.6606607   -   0.0095362
-0.6456456   -   0.0096027
-0.6306306   -   0.0096697
-0.6156156   -   0.0097372
-0.6006006   -   0.0098054
-0.5855856   -   0.0098742
-0.5705706   -   0.0099436
-0.5555556   -   0.0100136
-0.5405405   -   0.0100842
-0.5255255   -   0.0101554
-0.5105105   -   0.0102272
-0.4954955   -   0.0102997
-0.4804805   -   0.0103729
-0.4654655   -   0.0104467
-0.4504505   -   0.0105211
-0.4354354   -   0.0105962
-0.4204204   -   0.010672
-0.4054054   -   0.0107485
-0.3903904   -   0.0108256
-0.3753754   -   0.0109035
-0.3603604   -   0.010982
-0.3453453   -   0.0110612
-0.3303303   -   0.0111412
-0.3153153   -   0.0112219
-0.3003003   -   0.0113033
-0.2852853   -   0.0113855
-0.2702703   -   0.0114684
-0.2552553   -   0.0115521
-0.2402402   -   0.0116365
-0.2252252   -   0.0117217
-0.2102102   -   0.0118077
-0.1951952   -   0.0118944
-0.1801802   -   0.011982
-0.1651652   -   0.0120704
-0.1501502   -   0.0121596
-0.1351351   -   0.0122496
-0.1201201   -   0.0123405
-0.1051051   -   0.0124322
-0.0900901   -   0.0125247
-0.0750751   -   0.0126181
-0.0600601   -   0.0127124
-0.045045   -   0.0128076
-0.03003   -   0.0129036
-0.015015   -   0.0130006
0.0   -   0.0130985
0.015015   -   0.0131973
0.03003   -   0.013297
0.045045   -   0.0133977
0.0600601   -   0.0134993
0.0750751   -   0.0136019
0.0900901   -   0.0137055
0.1051051   -   0.0138101
0.1201201   -   0.0139156
0.1351351   -   0.0140222
0.1501502   -   0.0141298
0.1651652   -   0.0142384
0.1801802   -   0.0143481
0.1951952   -   0.0144588
0.2102102   -   0.0145706
0.2252252   -   0.0146835
0.2402402   -   0.0147975
0.2552553   -   0.0149126
0.2702703   -   0.0150288
0.2852853   -   0.0151461
0.3003003   -   0.0152646
0.3153153   -   0.0153843
0.3303303   -   0.0155051
0.3453453   -   0.0156271
0.3603604   -   0.0157503
0.3753754   -   0.0158748
0.3903904   -   0.0160004
0.4054054   -   0.0161273
0.4204204   -   0.0162555
0.4354354   -   0.016385
0.4504505   -   0.0165157
0.4654655   -   0.0166477
0.4804805   -   0.0167811
0.4954955   -   0.0169158
0.5105105   -   0.0170519
0.5255255   -   0.0171893
0.5405405   -   0.0173281
0.5555556   -   0.0174684
0.5705706   -   0.01761
0.5855856   -   0.0177531
0.6006006   -   0.0178976
0.6156156   -   0.0180436
0.6306306   -   0.0181911
0.6456456   -   0.0183402
0.6606607   -   0.0184907
0.6756757   -   0.0186428
0.6906907   -   0.0187964
0.7057057   -   0.0189517
0.7207207   -   0.0191085
0.7357357   -   0.019267
0.7507508   -   0.0194271
0.7657658   -   0.0195889
0.7807808   -   0.0197524
0.7957958   -   0.0199176
0.8108108   -   0.0200845
0.8258258   -   0.0202532
0.8408408   -   0.0204236
0.8558559   -   0.0205959
0.8708709   -   0.0207699
0.8858859   -   0.0209458
0.9009009   -   0.0211236
0.9159159   -   0.0213033
0.9309309   -   0.0214848
0.9459459   -   0.0216684
0.960961   -   0.0218538
0.975976   -   0.0220413
0.990991   -   0.0222308
1.006006   -   0.0224223
1.021021   -   0.0226159
1.036036   -   0.0228116
1.0510511   -   0.0230094
1.0660661   -   0.0232093
1.0810811   -   0.0234114
1.0960961   -   0.0236158
1.1111111   -   0.0238223
1.1261261   -   0.0240312
1.1411411   -   0.0242423
1.1561562   -   0.0244557
1.1711712   -   0.0246715
1.1861862   -   0.0248897
1.2012012   -   0.0251103
1.2162162   -   0.0253334
1.2312312   -   0.0255589
1.2462462   -   0.025787
1.2612613   -   0.0260176
1.2762763   -   0.0262507
1.2912913   -   0.0264865
1.3063063   -   0.026725
1.3213213   -   0.0269661
1.3363363   -   0.02721
1.3513514   -   0.0274567
1.3663664   -   0.0277061
1.3813814   -   0.0279584
1.3963964   -   0.0282135
1.4114114   -   0.0284716
1.4264264   -   0.0287326
1.4414414   -   0.0289966
1.4564565   -   0.0292637
1.4714715   -   0.0295338
1.4864865   -   0.0298071
1.5015015   -   0.0300835
1.5165165   -   0.0303632
1.5315315   -   0.0306461
1.5465465   -   0.0309323
1.5615616   -   0.0312219
1.5765766   -   0.0315148
1.5915916   -   0.0318112
1.6066066   -   0.0321111
